Question,Answer,Correctness,Lesson,Comment
Какие бывают статусы в чек листе и что они означают?,"passed - это когда проверка прошла на ура, а failed - это когда она провалилась.",0,1-2,"ответ считается частично верным если упомянуто не менее 4-х пунктов
можно предложить боту в таком случае уточнить дополнительную информацию у студента"
Какие бывают статусы в чек листе и что они означают?,"Статусы в чек-листе: весёлый, сердитый, смущённый, уставший, радостный.",0,1-2,"ответ считается частично верным если упомянуто не менее 4-х пунктов
можно предложить боту в таком случае уточнить дополнительную информацию у студента"
Какие бывают статусы в чек листе и что они означают?,"В чек-листе бывают статусы: ""зелёный"", ""красный"", ""жёлтый"", ""синий"", ""фиолетовый"".",0,1-2,"ответ считается частично верным если упомянуто не менее 4-х пунктов
можно предложить боту в таком случае уточнить дополнительную информацию у студента"
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.","Существует несколько предпосылок к тому, когда нам следует внедрять автоматизацию тестирования. 1) Цикл тестирования приложения становится всё больше с каждым разом
2) Увеличение внутреннего парка мобильных устройств
3) Большое количество регрессионных тестов
4) Поддержка большого числа версий операционных систем",1,2-1,"Если упомянуто менее 3/4 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.",Недостаток ресурсов для найма большого количества тестировщиков.,0,2-1,"Если упомянуто менее 3/4 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.","Цикл тестирования приложения становится всё больше с каждым разом,Увеличение внутреннего парка мобильных устройств,Большое количество регрессионных тестов",1,2-1,
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.",Внедрение автоматизации необходимо из-за роста числа пользователей,0,2-1,Неверно. Рост числа пользователей не всегда является предпосылкой для внедрения автоматизации. Эффективное управление ростом пользователей может потребовать других мер.
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.",Внедрение автоматизации становится необходимым из-за изменений в технологическом стеке компании,0,2-1,"Неправильно. Изменения в технологическом стеке могут требовать обновления процессов и инфраструктуры, но не всегда приводят к автоматизации."
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.",Тестов очень много,0,2-1,"Если упомянуто менее 3/4 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.","Попытка избежать ручного труда в любой ситуации, даже если автоматизация неэффективна или невозможна.",0,2-1,"Если упомянуто менее 3/4 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.",Желание компании создать впечатление о передовости и инновационности за счет использования автоматизации.,0,2-1,"Если упомянуто менее 3/4 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
Какие этапы включает в себя тестирование?,"Тестирование включает в себя следующие этапы: установка программы и удаление её, потому что она не работает.",0,1-1,ответ считается неверным если не упомянуто 3/6 критериев. ответ считается частично верным если упомянуто не менее 5-ти критериев
Какие этапы включает в себя тестирование?,"Этапы тестирования: собрать команду из любителей видеоигр, дать им пять минут, чтобы понять, что программа не игра, и затем переключиться на другую задачу.",0,1-1,ответ считается неверным если не упомянуто 3/6 критериев. ответ считается частично верным если упомянуто не менее 5-ти критериев
Какие этапы включает в себя тестирование?,"Тестирование состоит из двух этапов: запуск программы и проверка, работает ли она правильно.",0,1-1,ответ считается неверным если не упомянуто 3/6 критериев. ответ считается частично верным если упомянуто не менее 5-ти критериев
Какие этапы включает в себя тестирование?,"Этапы тестирования включают планирование, анализ требований, разработку тестовых сценариев, настройку тестовой среды, выполнение тестов, анализ результатов, отчетность и документацию, а также повторное тестирование и верификацию.",1,1-1,
Какие этапы включает в себя тестирование?,Тестирование состоит из выполнения тестов,0,1-1,"Этот ответ недостаточно охватывает весь процесс тестирования, игнорируя важные этапы, такие как планирование, анализ требований и анализ результатов, которые не менее важны для обеспечения качества продукта."
Какие этапы включает в себя тестирование?,"Этапы тестирования: придумать название программы, купить книгу по программированию, выпить чашечку кофе, надеяться на удачу.",0,1-1,ответ считается неверным если не упомянуто 3/6 критериев. ответ считается частично верным если упомянуто не менее 5-ти критериев
Какие этапы включает в себя тестирование?,"Подготовка, тестирование и предоставление выводов.",0,1-1,ответ считается неверным если не упомянуто 3/6 критериев. ответ считается частично верным если упомянуто не менее 5-ти критериев
Какие этапы включает в себя тестирование?,"6 этапов тестирования: 1) планирование тестирования;
2) анализ требований;
3) проектирование и реализация тестов;
5) создание отчётов о ходе и результатах тестирования;
6) оценка качества объекта тестирования.",1,1-1,ответ считается неверным если не упомянуто 3/6 критериев. ответ считается частично верным если упомянуто не менее 5-ти критериев
Какими hard skills должен обалдать тестировщик?,"К hard skills относятся навыки работы с инструментами, знание языков программирования, SQL, системы контроля версий Git, основ тестирования, техники тест-дизайна, а также понимание жизненного цикла тестирования, компьютерная грамотность и многое другое.",1,1-1,
Какими hard skills должен обалдать тестировщик?,"Hard skills тестировщика включают знание методологий тестирования, навыки программирования и автоматизации, понимание технологий и инструментов, знание жизненного цикла ПО, умение составлять тестовую документацию и аналитические способности.",1,1-1,
Какими hard skills должен обалдать тестировщик?,Способность писать сложные математические формулы,0,1-1,"Неправильно. Математические навыки могут быть полезны в некоторых аспектах разработки, но они не являются основным требованием для тестировщика."
Какими hard skills должен обалдать тестировщик?,Опыт работы с различными операционными системами,0,1-1,"Неправильно. Хотя знание различных операционных систем может быть полезным, оно не является основным hard skill тестировщика."
Какими hard skills должен обалдать тестировщик?,Умение проводить документирование и отчетность о тестировании,0,1-1,"Неверно. Хотя умение проводить документирование и отчетность может быть полезным для тестирования, оно не является единственным или доминирующим hard skill у тестировщика."
Какими hard skills должен обалдать тестировщик?,"Хороший тестировщик должен обладать навыками вязания, готовки суши и знать, как играть в боулинг.",0,1-1,ответ считается неверным если не упомянуто 50% необходимых навыков. ответ считается частично верным если упомянуто не менее 6 навыков
Какими hard skills должен обалдать тестировщик?,"Тестировщик должен быть хорошим поваром, знать астрономию и быть профессиональным игроком в баскетбол.",0,1-1,ответ считается неверным если не упомянуто 50% необходимых навыков. ответ считается частично верным если упомянуто не менее 6 навыков
Какими hard skills должен обалдать тестировщик?,"Ему нужно знать, как пользоваться кухонными приборами, разбираться в моде и уметь кататься на велосипеде.",0,1-1,ответ считается неверным если не упомянуто 50% необходимых навыков. ответ считается частично верным если упомянуто не менее 6 навыков
Какую информацию хранит раздел App Bundle Explorer в Google Play Console?,"Раздел ""App Bundle Explorer"" в Google Play Console содержит информацию о структуре и содержимом вашего приложения в формате Android App Bundle (AAB).",1,2-3,
Какую информацию хранит раздел App Bundle Explorer в Google Play Console?,"Раздел App Bundle Explorer в Google Play Console содержит информацию о версиях вашего приложения, включая содержимое и размеры файлов, а также различные настройки и метаданные.",1,2-3,
Какую информацию хранит раздел App Bundle Explorer в Google Play Console?,Раздел App Bundle Explorer в Google Play Console предоставляет доступ к статистике просмотров описания приложения.,0,2-3,"Этот ответ неверен, так как статистика просмотров описания приложения обычно доступна в разделе маркетинговой аналитики или в инструментах аналитики магазина приложений, а не в App Bundle Explorer."
Какую информацию хранит раздел App Bundle Explorer в Google Play Console?,"App Bundle Explorer предоставляет информацию о финансовых показателях, таких как доход и средний чек",0,2-3,"Этот ответ неверен, так как финансовая информация, связанная с доходом и средним чеком, обычно доступна в разделе финансовой отчетности или инструментах монетизации, а не в App Bundle Explorer."
Какую информацию хранит раздел App Bundle Explorer в Google Play Console?,Список самых популярных книг на Google Play,0,2-3,
Какую информацию хранит раздел App Bundle Explorer в Google Play Console?,Историю покупок в Google Play Store,0,2-3,
Какую информацию хранит раздел App Bundle Explorer в Google Play Console?,Там можно сказать приложения Amazon,0,2-3,
Какую информацию хранит раздел App Bundle Explorer в Google Play Console?,"Информация об играх, способах монетизации приложения.",0,2-3,
На основе какого документа составляют чек-листы?,"Они составляются на основе историй успеха из жизни тестировщика, чтобы вдохновиться перед началом работы.",0,1-2,
На основе какого документа составляют чек-листы?,На основе готового приложения,0,1-2,
На основе какого документа составляют чек-листы?,"Чек-листы создаются на основе прошлых ошибок, чтобы каждый раз повторять одни и те же тесты.",0,1-2,
На основе какого документа составляют чек-листы?,На основе здравого смысла,0,1-2,
На основе какого документа составляют чек-листы?,"Их составляют на основе рецептов бабушки, потому что так было всегда, и это работает.",0,1-2,
На основе какого документа составляют чек-листы?,"Чек-листы составляются на основе погоды во время тестирования, чтобы узнать, можно ли в этот день проводить тестирование.",0,1-2,
На основе какого документа составляют чек-листы?,"Чек-листы составляют на основе технического задания (ТЗ) — одного или нескольких документов, определяющих цель, структуру, свойства и методы проекта.",1,1-2,
На основе какого документа составляют чек-листы?,Чек-листы составляют на основе технического задания (ТЗ),1,1-2,
На основе какого документа составляют чек-листы?,"Чек-листы создаются на основе гороскопа, чтобы узнать, какие тесты проводить в текущий день.",0,1-2,
На чем может проводиться тестирование мобильных приложений?,"Тестирование мобильных приложений может проводиться на различных устройствах, операционных системах и версиях программного обеспечения, а также в различных средах, таких как реальные устройства, эмуляторы и облачные сервисы для тестирования.",1,2-1,
На чем может проводиться тестирование мобильных приложений?,"Тестирование мобильных приложений может проводиться на различных устройствах, операционных системах и версиях, а также в различных средах с различными сетевыми условиями.",1,2-1,
На чем может проводиться тестирование мобильных приложений?,"тестирование только на эмуляторах, чтобы охватить разнообразие устройств.",0,2-1,"Этот ответ неверен, так как тестирование на реальных устройствах обычно предпочтительнее, поскольку это позволяет более точно воспроизводить реальные сценарии использования и выявлять проблемы, связанные с аппаратными особенностями."
На чем может проводиться тестирование мобильных приложений?,Тестирование может проводиться только на самом популярном устройстве и операционной системе.,0,2-1,"Этот ответ неверен, потому что тестирование на разнообразных устройствах и операционных системах важно для обнаружения проблем совместимости и обеспечения хорошей работоспособности на широком спектре устройств."
На чем может проводиться тестирование мобильных приложений?,Тестирование можно провести только в стандартных средах без изменений настроек и конфигураций.,0,2-1,"Этот ответ неверен, поскольку тестирование в различных средах с различными настройками и конфигурациями помогает выявить потенциальные проблемы, связанные с различиями в окружающей среде пользователей."
На чем может проводиться тестирование мобильных приложений?,Тестирование мобильных приложений может проводиться на компьютерах с установленными эмуляторами и симуляторами.,0,2-1,Ответ считается невеерным если не перечислен хотя бы один пункт. Бот должен предложить перечислить оставшиеся пункты.
На чем может проводиться тестирование мобильных приложений?,"На облачных платформах, где можно создавать и запускать тестовые среды для мобильных устройств.",0,2-1,Ответ считается невеерным если не перечислен хотя бы один пункт. Бот должен предложить перечислить оставшиеся пункты.
На чем может проводиться тестирование мобильных приложений?,"На мобильных устройствах, таких как смартфоны и планшеты, для проверки реального поведения приложения.",0,2-1,Ответ считается невеерным если не перечислен хотя бы один пункт. Бот должен предложить перечислить оставшиеся пункты.
"На чем проводить тестирование важнее всего? (реальных девайсах, эмуляторах, симуляторах или моб фермах)",реальных девайсах,1,2-1,
"На чем проводить тестирование важнее всего? (реальных девайсах, эмуляторах, симуляторах или моб фермах)",эмуляторах,0,2-1,
"На чем проводить тестирование важнее всего? (реальных девайсах, эмуляторах, симуляторах или моб фермах)",симуляторах,0,2-1,
"На чем проводить тестирование важнее всего? (реальных девайсах, эмуляторах, симуляторах или моб фермах)",мобильных фермах,0,2-1,
Назовите критерии качества ПО?,Качественное ПО определяется наличием красивых кнопок и анимации при клике.,0,1-1,ответ считается неверным если не упомянуто 4/8 критериев. ответ считается частично верным если упомянуто не менее 6 критериев
Назовите критерии качества ПО?,"Критерии качества ПО: цветной интерфейс, много анимации и красивые шрифты.",0,1-1,ответ считается неверным если не упомянуто 4/8 критериев. ответ считается частично верным если упомянуто не менее 6 критериев
Назовите критерии качества ПО?,"Критерии качества ПО: количество встроенных игр, наличие мемов и способность предсказывать погоду.",0,1-1,ответ считается неверным если не упомянуто 4/8 критериев. ответ считается частично верным если упомянуто не менее 6 критериев
Назовите критерии качества ПО?,"Критерии качества ПО: 
1) функциональность 
2) эффективность 
3) надежность 
4) удобство в использовании
5) поддерживаемость
6) переносимость 
7) безопасность 
8) совместимость",1,1-1,ответ считается неверным если не упомянуто 4/8 критериев. ответ считается частично верным если упомянуто не менее 6 критериев
Назовите цели тестирования.,"Цели тестирования — это те задачи, которыми вы будете заниматься практически на любом проекте: 
1) Оценка соответствия стандартам компании рабочих продуктов: требований, пользовательских историй, проектирования и кода.
2) Проверка выполнения требований. 
3) Поиск и предотвращение дефектов.",1,1-1,
Назовите цели тестирования.,"Цели тестирования:
1) определить, насколько ПО соответствует заявленным требованиям; 2) выявить дефекты, то есть отклонения ПО от требований.",1,1-1,
Назовите цели тестирования.,"Тестирование нужно для того, чтобы просто провести как можно больше тестов.",0,1-1,
Назовите цели тестирования.,Обеспечение качества,0,1-1,"Цель тестирования состоит в обнаружении ошибок и проблем в приложении, чтобы обеспечить высокое качество его работы и удовлетворение потребностей пользователей."
Назовите цели тестирования.,Проверка соответствия требованиям,0,1-1,"Цель тестирования - убедиться, что приложение соответствует заявленным требованиям и функциональности, описанным в спецификации или пользовательском запросе."
Назовите цели тестирования.,Цели тестирования: найти ошибки/дефекты и исправить их.,0,1-1,
Назовите цели тестирования.,"Тестирование нужно, чтобы занять себя, когда делать больше нечего.",0,1-1,
Назовите цели тестирования.,"Цель тестирования заключается в том, чтобы показать, что разработчики сделали что-то неправильно.",0,1-1,
Опишите последовательность действий при составлении чек-листа.,"При составлении чек-листа для тестирования мобильного приложения нужно определить цели, разделить на категории, сформулировать проверки и тестовые сценарии, проверить и скорректировать, использовать для тестирования и проанализировать результаты.",1,1-2,
Опишите последовательность действий при составлении чек-листа.,"При составлении чек-листа для тестирования мобильного приложения последовательность действий включает определение целей, изучение требований, разделение на категории, формулирование проверок, проверку и корректировку, тестирование на практике, и анализ результатов.",1,1-2,
Опишите последовательность действий при составлении чек-листа.,Начать с формирования тестовых данных без определения целей тестирования.,0,1-2,"Этот подход неверен, так как без определения целей тестирования можно потерять фокус и не понять, что именно нужно тестировать и какие результаты ожидать."
Опишите последовательность действий при составлении чек-листа.,Составить чек-лист только на основе личного опыта без изучения требований и спецификаций приложения.,0,1-2,"Этот ответ неверен, так как без изучения требований и спецификаций можно упустить важные детали и не покрыть все аспекты приложения в чек-листе."
Опишите последовательность действий при составлении чек-листа.,"Не делить чек-лист на категории, оставив все проверки в едином списке.",0,1-2,"Этот подход неверен, так как разделение на категории помогает организовать тестирование и улучшает навигацию в чек-листе."
Опишите последовательность действий при составлении чек-листа.,"Первым делом рассмотреть стандартные шаблоны чек-листов для аналогичных проектов, а затем подготовить колонки, учитывая специфику тестируемого продукта.",0,1-2,"ответ считается неверным если не упомянуто 4/5 пунктов. 
ответ считается частично верным если упомянуто не менее 4-х пунктов"
Опишите последовательность действий при составлении чек-листа.,"Начать с того, чтобы провести обзор кода или документации проекта, а затем приступить к определению структуры и содержания чек-листа.",0,1-2,"ответ считается неверным если не упомянуто 4/5 пунктов. 
ответ считается частично верным если упомянуто не менее 4-х пунктов"
Опишите последовательность дейсвий при составлении чек-листа.,"Последовательность действий при составлении чек-листа:
1) Определить все возможные проверки. 2) Сгруппировать проверки в разделы. 3) Определить тестовые данные, если они необходимы. 4) Подумать, какие колонки будут в чек-листе.
5) Затем составляется сам чек-лист.",1,1-2,"ответ считается неверным если не упомянуто 4/5 пунктов. 
ответ считается частично верным если упомянуто не менее 4-х пунктов"
"Перечислите типичные виды, которые применяются в мобильном тестировании?",1) Функциональное тестирование 2) Тестирование совместимости 3) Тестирование производительности 4) Стресс-тесты,1,2-1,
"Перечислите типичные виды, которые применяются в мобильном тестировании?",Функциональное тестирование,0,2-1,Ответ недостаточный:
"Перечислите типичные виды, которые применяются в мобильном тестировании?",стресс тест,0,2-1,Ответ недостаточный:
"Перечислите типичные виды, которые применяются в мобильном тестировании?",тестирование безопасности,0,2-1,Ответ недостаточный:
"Перечислите типичные виды, которые применяются в мобильном тестировании?","Типичные виды, которые применяются в мобильном тестировании:
1) Функциональное тестирование
2) Тестирование совместимости
3) Тестирование производительности
4) Стресс-тесты
5) Тестирование безопасности
6) Тестирование юзабилити
7) Тестирование локализации и глобализации
8) Тестирование установки и обновления",1,2-1,"Если упомянуто менее 5/9 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
"Перечислите типичные виды, которые применяются в мобильном тестировании?",Исследование влияния цветовой гаммы на эмоциональное состояние пользователя.,0,2-1,"Если упомянуто менее 5/9 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
"Перечислите типичные виды, которые применяются в мобильном тестировании?","Определение скорости, с которой мобильное устройство может вращаться на 360 градусов.",0,2-1,"Если упомянуто менее 5/9 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
"Перечислите типичные виды, которые применяются в мобильном тестировании?",Тестирование способности мобильного устройства служить в качестве тостера для подогрева бутербродов.,0,2-1,"Если упомянуто менее 5/9 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
Подходят ли эмулятор и симулятор для отладки приложения?,"Симуляторы лучше подходят для отладки, чем эмуляторы.",0,2-2,Данные представлены в конспекте в виде таблицы
Подходят ли эмулятор и симулятор для отладки приложения?,"Да, оба подходят одинаково хорошо для отладки приложения.",0,2-2,Данные представлены в конспекте в виде таблицы
Подходят ли эмулятор и симулятор для отладки приложения?,Оба подходят для отладки.,0,2-2,Данные представлены в конспекте в виде таблицы
Подходят ли эмулятор и симулятор для отладки приложения?,Эмулятор больше подходит для отладки. Симулятор в меньшей степени подходит для отладки.,1,2-2,Данные представлены в конспекте в виде таблицы
Подходят ли эмулятор и симулятор для отладки приложения?,"Эмуляторы и симуляторы применяются только для отладки аппаратного обеспечения, но не программного.",0,2-2,Данные представлены в конспекте в виде таблицы
Приведите 2 и более примеров SDK из лекции,"Google Play и App Store, Facebook",1,2-3,
Приведите 2 и более примеров SDK из лекции,Twitter,0,2-3,"Этот ответ неверен, потому что на самом деле Twitter предоставляет API для разработчиков, а не SDK."
Приведите 2 и более примеров SDK из лекции,YouTube,0,2-3,"Этот ответ неверен, так как YouTube предоставляет API для взаимодействия с видео-контентом, а не SDK."
Приведите 2 и более примеров SDK из лекции,Spotify SDK,0,2-3,"Этот ответ неверен, так как Spotify использует API для взаимодействия с приложениями, а не SDK."
Приведите 2 и более примеров SDK из лекции,Instagram,0,2-3,"Этот ответ неверен, так как Spotify использует API для взаимодействия с приложениями, а не SDK."
Приведите 2 и более примеров SDK из лекции,Adobe Photoshop (для редактирования фотографий и создания графики),0,2-3,"Правильным считается ответ, где предоставлено хотя бы 2 верных пункта"
Приведите 2 и более примеров SDK из лекции,"Google Play и App Store (для выпуска приложения, настройки покупок внутри приложения и получения статистики)
Facebook (для использования инструментов рекламы, продвижения и статистики Facebook)
Crashlytics (для отслеживания статистики и крэшей пользователей)
HelpShift (для интеграции сервиса работы с техподдержкой через приложение)",1,2-3,"Правильным считается ответ, где предоставлено хотя бы 2 верных пункта"
Приведите 2 и более примеров SDK из лекции,Google Maps (для навигации и поиска мест),0,2-3,"Правильным считается ответ, где предоставлено хотя бы 2 верных пункта"
Проверки в чек-листе бывают с детализацией по версиям. Что имеется ввиду под этим?,"Под ""детализацией по версиям"" в чек-листе понимается указание конкретных версий операционных систем, устройств или приложений, для которых применяются определенные проверки.",1,1-2,
Проверки в чек-листе бывают с детализацией по версиям. Что имеется ввиду под этим?,"Это означает, что каждая проверка в чек-листе должна быть выполнена несколько раз на разных устройствах.",0,1-2,"Этот ответ неверен, потому что детализация по версиям касается конкретных версий программного обеспечения или операционных систем, а не различных устройств."
Проверки в чек-листе бывают с детализацией по версиям. Что имеется ввиду под этим?,"Это означает, что для каждой проверки в чек-листе необходимо указать список разных приложений, среди которых она должна быть выполнена.",0,1-2,"Этот ответ также неверен, потому что детализация по версиям касается версий программного обеспечения или операционных систем, а не конкретных приложений."
Проверки в чек-листе бывают с детализацией по версиям. Что имеется ввиду под этим?,"Под этим понимается, что в чек-листе указывается, какие проверки должны быть выполнены до выпуска новой версии программного обеспечения.",0,1-2,
Проверки в чек-листе бывают с детализацией по версиям. Что имеется ввиду под этим?,"В чек-листе хранится история прохождения для разных версий ПО. Это полезно для отслеживания: в одних местах чаще возникают ошибки, а в других всё относительно стабильно.",1,1-2,
